datetime_pst,temp_c
10/20/2022 10:53:38,22.209
10/20/2022 10:58:38,18.251
10/20/2022 11:03:38,17.468
10/20/2022 11:08:38,17.340
10/20/2022 11:13:38,17.275
10/20/2022 11:18:38,17.265
10/20/2022 11:23:38,17.275
10/20/2022 11:28:38,17.286
10/20/2022 11:33:38,17.297
10/20/2022 11:38:38,17.286
10/20/2022 11:43:38,17.308
10/20/2022 11:48:38,17.308
10/20/2022 11:53:38,17.318
10/20/2022 11:58:38,17.297
10/20/2022 12:03:38,17.340
10/20/2022 12:08:38,17.350
10/20/2022 12:13:38,17.340
10/20/2022 12:18:38,17.372
10/20/2022 12:23:38,17.340
10/20/2022 12:28:38,17.340
10/20/2022 12:33:38,17.372
10/20/2022 12:38:38,17.361
10/20/2022 12:43:38,17.383
10/20/2022 12:48:38,17.383
10/20/2022 12:53:38,17.383
10/20/2022 12:58:38,17.426
10/20/2022 13:03:38,17.404
10/20/2022 13:08:38,17.426
10/20/2022 13:13:38,17.426
10/20/2022 13:18:38,17.447
10/20/2022 13:23:38,17.458
10/20/2022 13:28:38,17.468
10/20/2022 13:33:38,17.468
10/20/2022 13:38:38,17.468
10/20/2022 13:43:38,17.490
10/20/2022 13:48:38,17.501
10/20/2022 13:53:38,17.511
10/20/2022 13:58:38,17.522
10/20/2022 14:03:38,17.511
10/20/2022 14:08:38,17.543
10/20/2022 14:13:38,17.522
10/20/2022 14:18:38,17.554
10/20/2022 14:23:38,17.565
10/20/2022 14:28:38,17.576
10/20/2022 14:33:38,17.565
10/20/2022 14:38:38,17.597
10/20/2022 14:43:38,17.565
10/20/2022 14:48:38,17.576
10/20/2022 14:53:38,17.554
10/20/2022 14:58:38,17.565
10/20/2022 15:03:38,17.565
10/20/2022 15:08:38,17.565
10/20/2022 15:13:38,17.576
10/20/2022 15:18:38,17.565
10/20/2022 15:23:38,17.597
10/20/2022 15:28:38,17.565
10/20/2022 15:33:38,17.565
10/20/2022 15:38:38,17.554
10/20/2022 15:43:38,17.576
10/20/2022 15:48:38,17.543
10/20/2022 15:53:38,17.554
10/20/2022 15:58:38,17.522
10/20/2022 16:03:38,17.543
10/20/2022 16:08:38,17.533
10/20/2022 16:13:38,17.522
10/20/2022 16:18:38,17.533
10/20/2022 16:23:38,17.533
10/20/2022 16:28:38,17.543
10/20/2022 16:33:38,17.533
10/20/2022 16:38:38,17.533
10/20/2022 16:43:38,17.543
10/20/2022 16:48:38,17.501
10/20/2022 16:53:38,17.511
10/20/2022 16:58:38,17.501
