datetime_pst,temp_c
10/20/2022 10:49:12,22.756
10/20/2022 10:54:12,17.586
10/20/2022 10:59:12,16.589
10/20/2022 11:04:12,16.514
10/20/2022 11:09:12,16.568
10/20/2022 11:14:12,16.621
10/20/2022 11:19:12,16.696
10/20/2022 11:24:12,16.761
10/20/2022 11:29:12,16.836
10/20/2022 11:34:12,16.889
10/20/2022 11:39:12,16.803
10/20/2022 11:44:12,16.535
10/20/2022 11:49:12,16.246
10/20/2022 11:54:12,15.988
10/20/2022 11:59:12,16.021
10/20/2022 12:04:12,16.160
10/20/2022 12:09:12,16.256
10/20/2022 12:14:12,16.364
10/20/2022 12:19:12,16.482
10/20/2022 12:24:12,16.546
10/20/2022 12:29:12,16.643
10/20/2022 12:34:12,16.739
10/20/2022 12:39:12,16.803
10/20/2022 12:44:12,16.868
10/20/2022 12:49:12,16.846
10/20/2022 12:54:12,16.589
10/20/2022 12:59:12,16.321
10/20/2022 13:04:12,16.053
10/20/2022 13:09:12,15.945
10/20/2022 13:14:12,16.106
10/20/2022 13:19:12,16.224
10/20/2022 13:24:12,16.342
10/20/2022 13:29:12,16.471
10/20/2022 13:34:12,16.557
10/20/2022 13:39:12,16.664
10/20/2022 13:44:12,16.739
10/20/2022 13:49:12,16.857
10/20/2022 13:54:12,16.879
10/20/2022 13:59:12,16.675
10/20/2022 14:04:12,16.407
10/20/2022 14:09:12,16.149
10/20/2022 14:14:12,15.945
10/20/2022 14:19:12,16.021
10/20/2022 14:24:12,16.160
10/20/2022 14:29:12,16.321
10/20/2022 14:34:12,16.417
10/20/2022 14:39:12,16.525
10/20/2022 14:44:12,16.621
10/20/2022 14:49:12,16.718
10/20/2022 14:54:12,16.793
10/20/2022 14:59:12,16.921
10/20/2022 15:04:12,16.782
10/20/2022 15:09:12,16.492
10/20/2022 15:14:12,16.267
10/20/2022 15:19:12,16.021
10/20/2022 15:24:12,15.935
10/20/2022 15:29:12,16.085
10/20/2022 15:34:12,16.246
10/20/2022 15:39:12,16.353
10/20/2022 15:44:12,16.439
10/20/2022 15:49:12,16.557
10/20/2022 15:54:12,16.643
10/20/2022 15:59:12,16.750
10/20/2022 16:04:12,16.836
10/20/2022 16:09:12,16.911
10/20/2022 16:14:12,16.739
10/20/2022 16:19:12,16.471
10/20/2022 16:24:12,16.203
10/20/2022 16:29:12,15.978
10/20/2022 16:34:12,15.988
10/20/2022 16:39:12,16.138
10/20/2022 16:44:12,16.256
10/20/2022 16:49:12,16.374
10/20/2022 16:54:12,16.460
10/20/2022 16:59:12,16.568
10/20/2022 17:04:12,16.643
10/20/2022 17:09:12,16.739
10/20/2022 17:14:12,16.814
10/20/2022 17:19:12,16.879
10/20/2022 17:24:12,16.782
10/20/2022 17:29:12,16.535
10/20/2022 17:34:12,16.256
10/20/2022 17:39:12,15.967
10/20/2022 17:44:12,15.978
10/20/2022 17:49:12,16.096
10/20/2022 17:54:12,16.235
10/20/2022 17:59:12,16.332
10/20/2022 18:04:12,16.407
10/20/2022 18:09:12,16.514
10/20/2022 18:14:12,16.578
10/20/2022 18:19:12,16.643
10/20/2022 18:24:12,16.728
10/20/2022 18:29:12,16.793
10/20/2022 18:34:12,16.836
10/20/2022 18:39:12,16.900
10/20/2022 18:44:12,16.718
10/20/2022 18:49:12,16.396
10/20/2022 18:54:12,16.128
10/20/2022 18:59:12,15.903
10/20/2022 19:04:12,16.010
